code,chapter_prefix,chapter_name,parent,title,description,synonyms,level
A82,A,Certain infectious and parasitic diseases,,Sepsis (category),Sepsis within Certain infectious and parasitic diseases. Category-level grouping.,sepsis|Sepsis disorder|Sepsis disease,category
E19.034,E,"Endocrine, nutritional and metabolic diseases",E19,Lipid disorder - variant 034,Lipid disorder - variant 034 specific presentation or complication.,lipid disorder - variant 034|lipid|unspecified,leaf
E22.034,E,"Endocrine, nutritional and metabolic diseases",E22,Obesity - variant 034,Obesity - variant 034 specific presentation or complication.,obesity - variant 034|obesity|unspecified,leaf
E89.034,E,"Endocrine, nutritional and metabolic diseases",E89,Electrolyte imbalance - variant 034,Electrolyte imbalance - variant 034 specific presentation or complication.,electrolyte imbalance - variant 034|electrolyte|unspecified,leaf
F64.034,F,Mental and behavioural disorders,F64,Major depressive disorder - variant 034,Major depressive disorder - variant 034 specific presentation or complication.,major depressive disorder - variant 034|major|unspecified,leaf
F62.034,F,Mental and behavioural disorders,F62,Anxiety disorder - variant 034,Anxiety disorder - variant 034 specific presentation or complication.,anxiety disorder - variant 034|anxiety|unspecified,leaf
F91.034,F,Mental and behavioural disorders,F91,Substance use disorder - variant 034,Substance use disorder - variant 034 specific presentation or complication.,substance use disorder - variant 034|substance|unspecified,leaf
F26.034,F,Mental and behavioural disorders,F26,Schizophrenia spectrum - variant 034,Schizophrenia spectrum - variant 034 specific presentation or complication.,schizophrenia spectrum - variant 034|schizophrenia|unspecified,leaf
G13.034,G,Diseases of the nervous system,G13,Epilepsy - variant 034,Epilepsy - variant 034 specific presentation or complication.,epilepsy - variant 034|epilepsy|unspecified,leaf
G59.034,G,Diseases of the nervous system,G59,Parkinsonism - variant 034,Parkinsonism - variant 034 specific presentation or complication.,parkinsonism - variant 034|parkinsonism|unspecified,leaf
G97.034,G,Diseases of the nervous system,G97,Migraine - variant 034,Migraine - variant 034 specific presentation or complication.,migraine - variant 034|migraine|unspecified,leaf
G64.034,G,Diseases of the nervous system,G64,Neuropathy - variant 034,Neuropathy - variant 034 specific presentation or complication.,neuropathy - variant 034|neuropathy|unspecified,leaf
I37.034,I,Diseases of the circulatory system,I37,Hypertensive disease - variant 034,Hypertensive disease - variant 034 specific presentation or complication.,hypertensive disease - variant 034|hypertensive|unspecified,leaf
I55.034,I,Diseases of the circulatory system,I55,Ischemic heart disease - variant 034,Ischemic heart disease - variant 034 specific presentation or complication.,ischemic heart disease - variant 034|ischemic|unspecified,leaf
I38.034,I,Diseases of the circulatory system,I38,Heart failure - variant 034,Heart failure - variant 034 specific presentation or complication.,heart failure - variant 034|heart|unspecified,leaf
I66.034,I,Diseases of the circulatory system,I66,Cerebrovascular disease - variant 034,Cerebrovascular disease - variant 034 specific presentation or complication.,cerebrovascular disease - variant 034|cerebrovascular|unspecified,leaf
I22.034,I,Diseases of the circulatory system,I22,Arrhythmia - variant 034,Arrhythmia - variant 034 specific presentation or complication.,arrhythmia - variant 034|arrhythmia|unspecified,leaf
J52.034,J,Diseases of the respiratory system,J52,Pneumonia - variant 034,Pneumonia - variant 034 specific presentation or complication.,pneumonia - variant 034|pneumonia|unspecified,leaf
J60.034,J,Diseases of the respiratory system,J60,Asthma - variant 034,Asthma - variant 034 specific presentation or complication.,asthma - variant 034|asthma|unspecified,leaf
J35.034,J,Diseases of the respiratory system,J35,COPD - variant 034,COPD - variant 034 specific presentation or complication.,copd - variant 034|copd|unspecified,leaf
J18.034,J,Diseases of the respiratory system,J18,Respiratory failure - variant 034,Respiratory failure - variant 034 specific presentation or complication.,respiratory failure - variant 034|respiratory|unspecified,leaf
K13.034,K,Diseases of the digestive system,K13,Gastritis - variant 034,Gastritis - variant 034 specific presentation or complication.,gastritis - variant 034|gastritis|unspecified,leaf
K19.034,K,Diseases of the digestive system,K19,Peptic ulcer - variant 034,Peptic ulcer - variant 034 specific presentation or complication.,peptic ulcer - variant 034|peptic|unspecified,leaf
K26.034,K,Diseases of the digestive system,K26,Liver disease - variant 034,Liver disease - variant 034 specific presentation or complication.,liver disease - variant 034|liver|unspecified,leaf
K20.034,K,Diseases of the digestive system,K20,Pancreatic disorder - variant 034,Pancreatic disorder - variant 034 specific presentation or complication.,pancreatic disorder - variant 034|pancreatic|unspecified,leaf
K36.034,K,Diseases of the digestive system,K36,IBD - variant 034,IBD - variant 034 specific presentation or complication.,ibd - variant 034|ibd|unspecified,leaf
M80.034,M,Diseases of the musculoskeletal system and connective tissue,M80,Osteoarthritis - variant 034,Osteoarthritis - variant 034 specific presentation or complication.,osteoarthritis - variant 034|osteoarthritis|unspecified,leaf
M74.034,M,Diseases of the musculoskeletal system and connective tissue,M74,Rheumatoid arthritis - variant 034,Rheumatoid arthritis - variant 034 specific presentation or complication.,rheumatoid arthritis - variant 034|rheumatoid|unspecified,leaf
M69.034,M,Diseases of the musculoskeletal system and connective tissue,M69,Low back pain - variant 034,Low back pain - variant 034 specific presentation or complication.,low back pain - variant 034|low|unspecified,leaf
M54.034,M,Diseases of the musculoskeletal system and connective tissue,M54,Osteoporosis - variant 034,Osteoporosis - variant 034 specific presentation or complication.,osteoporosis - variant 034|osteoporosis|unspecified,leaf
N32.034,N,Diseases of the genitourinary system,N32,CKD - variant 034,CKD - variant 034 specific presentation or complication.,ckd - variant 034|ckd|unspecified,leaf
N24.034,N,Diseases of the genitourinary system,N24,UTI - variant 034,UTI - variant 034 specific presentation or complication.,uti - variant 034|uti|unspecified,leaf
N38.034,N,Diseases of the genitourinary system,N38,Nephrolithiasis - variant 034,Nephrolithiasis - variant 034 specific presentation or complication.,nephrolithiasis - variant 034|nephrolithiasis|unspecified,leaf
N48.034,N,Diseases of the genitourinary system,N48,Prostate disorder - variant 034,Prostate disorder - variant 034 specific presentation or complication.,prostate disorder - variant 034|prostate|unspecified,leaf
N77.034,N,Diseases of the genitourinary system,N77,Gynecologic disorder - variant 034,Gynecologic disorder - variant 034 specific presentation or complication.,gynecologic disorder - variant 034|gynecologic|unspecified,leaf
A82.035,A,Certain infectious and parasitic diseases,A82,Sepsis - variant 035,Sepsis - variant 035 specific presentation or complication.,sepsis - variant 035|sepsis|unspecified,leaf
A79.035,A,Certain infectious and parasitic diseases,A79,Viral infection - variant 035,Viral infection - variant 035 specific presentation or complication.,viral infection - variant 035|viral|unspecified,leaf
A25.035,A,Certain infectious and parasitic diseases,A25,Bacterial infection - variant 035,Bacterial infection - variant 035 specific presentation or complication.,bacterial infection - variant 035|bacterial|unspecified,leaf
A26.035,A,Certain infectious and parasitic diseases,A26,Mycosis - variant 035,Mycosis - variant 035 specific presentation or complication.,mycosis - variant 035|mycosis|unspecified,leaf
A73.035,A,Certain infectious and parasitic diseases,A73,Parasitic disease - variant 035,Parasitic disease - variant 035 specific presentation or complication.,parasitic disease - variant 035|parasitic|unspecified,leaf
C19.035,C,Neoplasms,C19,Malignant neoplasm of organ - variant 035,Malignant neoplasm of organ - variant 035 specific presentation or complication.,malignant neoplasm of organ - variant 035|malignant|unspecified,leaf
C76.035,C,Neoplasms,C76,Benign neoplasm - variant 035,Benign neoplasm - variant 035 specific presentation or complication.,benign neoplasm - variant 035|benign|unspecified,leaf
C23.035,C,Neoplasms,C23,In situ neoplasm - variant 035,In situ neoplasm - variant 035 specific presentation or complication.,in situ neoplasm - variant 035|in|unspecified,leaf
C25.035,C,Neoplasms,C25,Neoplasm of uncertain behavior - variant 035,Neoplasm of uncertain behavior - variant 035 specific presentation or complication.,neoplasm of uncertain behavior - variant 035|neoplasm|unspecified,leaf
E25.035,E,"Endocrine, nutritional and metabolic diseases",E25,Type 2 diabetes - variant 035,Type 2 diabetes - variant 035 specific presentation or complication.,type 2 diabetes - variant 035|type|unspecified,leaf
E90.035,E,"Endocrine, nutritional and metabolic diseases",E90,Thyroid disorder - variant 035,Thyroid disorder - variant 035 specific presentation or complication.,thyroid disorder - variant 035|thyroid|unspecified,leaf
E19.035,E,"Endocrine, nutritional and metabolic diseases",E19,Lipid disorder - variant 035,Lipid disorder - variant 035 specific presentation or complication.,lipid disorder - variant 035|lipid|unspecified,leaf
E22.035,E,"Endocrine, nutritional and metabolic diseases",E22,Obesity - variant 035,Obesity - variant 035 specific presentation or complication.,obesity - variant 035|obesity|unspecified,leaf
E89.035,E,"Endocrine, nutritional and metabolic diseases",E89,Electrolyte imbalance - variant 035,Electrolyte imbalance - variant 035 specific presentation or complication.,electrolyte imbalance - variant 035|electrolyte|unspecified,leaf
F64.035,F,Mental and behavioural disorders,F64,Major depressive disorder - variant 035,Major depressive disorder - variant 035 specific presentation or complication.,major depressive disorder - variant 035|major|unspecified,leaf
F62.035,F,Mental and behavioural disorders,F62,Anxiety disorder - variant 035,Anxiety disorder - variant 035 specific presentation or complication.,anxiety disorder - variant 035|anxiety|unspecified,leaf
F91.035,F,Mental and behavioural disorders,F91,Substance use disorder - variant 035,Substance use disorder - variant 035 specific presentation or complication.,substance use disorder - variant 035|substance|unspecified,leaf
F26.035,F,Mental and behavioural disorders,F26,Schizophrenia spectrum - variant 035,Schizophrenia spectrum - variant 035 specific presentation or complication.,schizophrenia spectrum - variant 035|schizophrenia|unspecified,leaf
G13.035,G,Diseases of the nervous system,G13,Epilepsy - variant 035,Epilepsy - variant 035 specific presentation or complication.,epilepsy - variant 035|epilepsy|unspecified,leaf
G59.035,G,Diseases of the nervous system,G59,Parkinsonism - variant 035,Parkinsonism - variant 035 specific presentation or complication.,parkinsonism - variant 035|parkinsonism|unspecified,leaf
G97.035,G,Diseases of the nervous system,G97,Migraine - variant 035,Migraine - variant 035 specific presentation or complication.,migraine - variant 035|migraine|unspecified,leaf
G64.035,G,Diseases of the nervous system,G64,Neuropathy - variant 035,Neuropathy - variant 035 specific presentation or complication.,neuropathy - variant 035|neuropathy|unspecified,leaf
I37.035,I,Diseases of the circulatory system,I37,Hypertensive disease - variant 035,Hypertensive disease - variant 035 specific presentation or complication.,hypertensive disease - variant 035|hypertensive|unspecified,leaf
I55.035,I,Diseases of the circulatory system,I55,Ischemic heart disease - variant 035,Ischemic heart disease - variant 035 specific presentation or complication.,ischemic heart disease - variant 035|ischemic|unspecified,leaf
I38.035,I,Diseases of the circulatory system,I38,Heart failure - variant 035,Heart failure - variant 035 specific presentation or complication.,heart failure - variant 035|heart|unspecified,leaf
I66.035,I,Diseases of the circulatory system,I66,Cerebrovascular disease - variant 035,Cerebrovascular disease - variant 035 specific presentation or complication.,cerebrovascular disease - variant 035|cerebrovascular|unspecified,leaf
I22.035,I,Diseases of the circulatory system,I22,Arrhythmia - variant 035,Arrhythmia - variant 035 specific presentation or complication.,arrhythmia - variant 035|arrhythmia|unspecified,leaf
J52.035,J,Diseases of the respiratory system,J52,Pneumonia - variant 035,Pneumonia - variant 035 specific presentation or complication.,pneumonia - variant 035|pneumonia|unspecified,leaf
J60.035,J,Diseases of the respiratory system,J60,Asthma - variant 035,Asthma - variant 035 specific presentation or complication.,asthma - variant 035|asthma|unspecified,leaf
J35.035,J,Diseases of the respiratory system,J35,COPD - variant 035,COPD - variant 035 specific presentation or complication.,copd - variant 035|copd|unspecified,leaf
J18.035,J,Diseases of the respiratory system,J18,Respiratory failure - variant 035,Respiratory failure - variant 035 specific presentation or complication.,respiratory failure - variant 035|respiratory|unspecified,leaf
K13.035,K,Diseases of the digestive system,K13,Gastritis - variant 035,Gastritis - variant 035 specific presentation or complication.,gastritis - variant 035|gastritis|unspecified,leaf
K19.035,K,Diseases of the digestive system,K19,Peptic ulcer - variant 035,Peptic ulcer - variant 035 specific presentation or complication.,peptic ulcer - variant 035|peptic|unspecified,leaf
K26.035,K,Diseases of the digestive system,K26,Liver disease - variant 035,Liver disease - variant 035 specific presentation or complication.,liver disease - variant 035|liver|unspecified,leaf
K20.035,K,Diseases of the digestive system,K20,Pancreatic disorder - variant 035,Pancreatic disorder - variant 035 specific presentation or complication.,pancreatic disorder - variant 035|pancreatic|unspecified,leaf
K36.035,K,Diseases of the digestive system,K36,IBD - variant 035,IBD - variant 035 specific presentation or complication.,ibd - variant 035|ibd|unspecified,leaf
M80.035,M,Diseases of the musculoskeletal system and connective tissue,M80,Osteoarthritis - variant 035,Osteoarthritis - variant 035 specific presentation or complication.,osteoarthritis - variant 035|osteoarthritis|unspecified,leaf
M74.035,M,Diseases of the musculoskeletal system and connective tissue,M74,Rheumatoid arthritis - variant 035,Rheumatoid arthritis - variant 035 specific presentation or complication.,rheumatoid arthritis - variant 035|rheumatoid|unspecified,leaf
M69.035,M,Diseases of the musculoskeletal system and connective tissue,M69,Low back pain - variant 035,Low back pain - variant 035 specific presentation or complication.,low back pain - variant 035|low|unspecified,leaf
M54.035,M,Diseases of the musculoskeletal system and connective tissue,M54,Osteoporosis - variant 035,Osteoporosis - variant 035 specific presentation or complication.,osteoporosis - variant 035|osteoporosis|unspecified,leaf
N32.035,N,Diseases of the genitourinary system,N32,CKD - variant 035,CKD - variant 035 specific presentation or complication.,ckd - variant 035|ckd|unspecified,leaf
N24.035,N,Diseases of the genitourinary system,N24,UTI - variant 035,UTI - variant 035 specific presentation or complication.,uti - variant 035|uti|unspecified,leaf
N38.035,N,Diseases of the genitourinary system,N38,Nephrolithiasis - variant 035,Nephrolithiasis - variant 035 specific presentation or complication.,nephrolithiasis - variant 035|nephrolithiasis|unspecified,leaf
N48.035,N,Diseases of the genitourinary system,N48,Prostate disorder - variant 035,Prostate disorder - variant 035 specific presentation or complication.,prostate disorder - variant 035|prostate|unspecified,leaf
N77.035,N,Diseases of the genitourinary system,N77,Gynecologic disorder - variant 035,Gynecologic disorder - variant 035 specific presentation or complication.,gynecologic disorder - variant 035|gynecologic|unspecified,leaf
A82.036,A,Certain infectious and parasitic diseases,A82,Sepsis - variant 036,Sepsis - variant 036 specific presentation or complication.,sepsis - variant 036|sepsis|unspecified,leaf
A79.036,A,Certain infectious and parasitic diseases,A79,Viral infection - variant 036,Viral infection - variant 036 specific presentation or complication.,viral infection - variant 036|viral|unspecified,leaf
A25.036,A,Certain infectious and parasitic diseases,A25,Bacterial infection - variant 036,Bacterial infection - variant 036 specific presentation or complication.,bacterial infection - variant 036|bacterial|unspecified,leaf
A26.036,A,Certain infectious and parasitic diseases,A26,Mycosis - variant 036,Mycosis - variant 036 specific presentation or complication.,mycosis - variant 036|mycosis|unspecified,leaf
A73.036,A,Certain infectious and parasitic diseases,A73,Parasitic disease - variant 036,Parasitic disease - variant 036 specific presentation or complication.,parasitic disease - variant 036|parasitic|unspecified,leaf
C19.036,C,Neoplasms,C19,Malignant neoplasm of organ - variant 036,Malignant neoplasm of organ - variant 036 specific presentation or complication.,malignant neoplasm of organ - variant 036|malignant|unspecified,leaf
C76.036,C,Neoplasms,C76,Benign neoplasm - variant 036,Benign neoplasm - variant 036 specific presentation or complication.,benign neoplasm - variant 036|benign|unspecified,leaf
C23.036,C,Neoplasms,C23,In situ neoplasm - variant 036,In situ neoplasm - variant 036 specific presentation or complication.,in situ neoplasm - variant 036|in|unspecified,leaf
C25.036,C,Neoplasms,C25,Neoplasm of uncertain behavior - variant 036,Neoplasm of uncertain behavior - variant 036 specific presentation or complication.,neoplasm of uncertain behavior - variant 036|neoplasm|unspecified,leaf
E25.036,E,"Endocrine, nutritional and metabolic diseases",E25,Type 2 diabetes - variant 036,Type 2 diabetes - variant 036 specific presentation or complication.,type 2 diabetes - variant 036|type|unspecified,leaf
E90.036,E,"Endocrine, nutritional and metabolic diseases",E90,Thyroid disorder - variant 036,Thyroid disorder - variant 036 specific presentation or complication.,thyroid disorder - variant 036|thyroid|unspecified,leaf
E19.036,E,"Endocrine, nutritional and metabolic diseases",E19,Lipid disorder - variant 036,Lipid disorder - variant 036 specific presentation or complication.,lipid disorder - variant 036|lipid|unspecified,leaf
E22.036,E,"Endocrine, nutritional and metabolic diseases",E22,Obesity - variant 036,Obesity - variant 036 specific presentation or complication.,obesity - variant 036|obesity|unspecified,leaf
E89.036,E,"Endocrine, nutritional and metabolic diseases",E89,Electrolyte imbalance - variant 036,Electrolyte imbalance - variant 036 specific presentation or complication.,electrolyte imbalance - variant 036|electrolyte|unspecified,leaf
F64.036,F,Mental and behavioural disorders,F64,Major depressive disorder - variant 036,Major depressive disorder - variant 036 specific presentation or complication.,major depressive disorder - variant 036|major|unspecified,leaf
F62.036,F,Mental and behavioural disorders,F62,Anxiety disorder - variant 036,Anxiety disorder - variant 036 specific presentation or complication.,anxiety disorder - variant 036|anxiety|unspecified,leaf
F91.036,F,Mental and behavioural disorders,F91,Substance use disorder - variant 036,Substance use disorder - variant 036 specific presentation or complication.,substance use disorder - variant 036|substance|unspecified,leaf
F26.036,F,Mental and behavioural disorders,F26,Schizophrenia spectrum - variant 036,Schizophrenia spectrum - variant 036 specific presentation or complication.,schizophrenia spectrum - variant 036|schizophrenia|unspecified,leaf
G13.036,G,Diseases of the nervous system,G13,Epilepsy - variant 036,Epilepsy - variant 036 specific presentation or complication.,epilepsy - variant 036|epilepsy|unspecified,leaf
G59.036,G,Diseases of the nervous system,G59,Parkinsonism - variant 036,Parkinsonism - variant 036 specific presentation or complication.,parkinsonism - variant 036|parkinsonism|unspecified,leaf
G97.036,G,Diseases of the nervous system,G97,Migraine - variant 036,Migraine - variant 036 specific presentation or complication.,migraine - variant 036|migraine|unspecified,leaf
G64.036,G,Diseases of the nervous system,G64,Neuropathy - variant 036,Neuropathy - variant 036 specific presentation or complication.,neuropathy - variant 036|neuropathy|unspecified,leaf
I37.036,I,Diseases of the circulatory system,I37,Hypertensive disease - variant 036,Hypertensive disease - variant 036 specific presentation or complication.,hypertensive disease - variant 036|hypertensive|unspecified,leaf
I55.036,I,Diseases of the circulatory system,I55,Ischemic heart disease - variant 036,Ischemic heart disease - variant 036 specific presentation or complication.,ischemic heart disease - variant 036|ischemic|unspecified,leaf
I38.036,I,Diseases of the circulatory system,I38,Heart failure - variant 036,Heart failure - variant 036 specific presentation or complication.,heart failure - variant 036|heart|unspecified,leaf
I66.036,I,Diseases of the circulatory system,I66,Cerebrovascular disease - variant 036,Cerebrovascular disease - variant 036 specific presentation or complication.,cerebrovascular disease - variant 036|cerebrovascular|unspecified,leaf
I22.036,I,Diseases of the circulatory system,I22,Arrhythmia - variant 036,Arrhythmia - variant 036 specific presentation or complication.,arrhythmia - variant 036|arrhythmia|unspecified,leaf
J52.036,J,Diseases of the respiratory system,J52,Pneumonia - variant 036,Pneumonia - variant 036 specific presentation or complication.,pneumonia - variant 036|pneumonia|unspecified,leaf
J60.036,J,Diseases of the respiratory system,J60,Asthma - variant 036,Asthma - variant 036 specific presentation or complication.,asthma - variant 036|asthma|unspecified,leaf
J35.036,J,Diseases of the respiratory system,J35,COPD - variant 036,COPD - variant 036 specific presentation or complication.,copd - variant 036|copd|unspecified,leaf
J18.036,J,Diseases of the respiratory system,J18,Respiratory failure - variant 036,Respiratory failure - variant 036 specific presentation or complication.,respiratory failure - variant 036|respiratory|unspecified,leaf
K13.036,K,Diseases of the digestive system,K13,Gastritis - variant 036,Gastritis - variant 036 specific presentation or complication.,gastritis - variant 036|gastritis|unspecified,leaf
K19.036,K,Diseases of the digestive system,K19,Peptic ulcer - variant 036,Peptic ulcer - variant 036 specific presentation or complication.,peptic ulcer - variant 036|peptic|unspecified,leaf
K26.036,K,Diseases of the digestive system,K26,Liver disease - variant 036,Liver disease - variant 036 specific presentation or complication.,liver disease - variant 036|liver|unspecified,leaf
K20.036,K,Diseases of the digestive system,K20,Pancreatic disorder - variant 036,Pancreatic disorder - variant 036 specific presentation or complication.,pancreatic disorder - variant 036|pancreatic|unspecified,leaf
K36.036,K,Diseases of the digestive system,K36,IBD - variant 036,IBD - variant 036 specific presentation or complication.,ibd - variant 036|ibd|unspecified,leaf
M80.036,M,Diseases of the musculoskeletal system and connective tissue,M80,Osteoarthritis - variant 036,Osteoarthritis - variant 036 specific presentation or complication.,osteoarthritis - variant 036|osteoarthritis|unspecified,leaf
M74.036,M,Diseases of the musculoskeletal system and connective tissue,M74,Rheumatoid arthritis - variant 036,Rheumatoid arthritis - variant 036 specific presentation or complication.,rheumatoid arthritis - variant 036|rheumatoid|unspecified,leaf
M69.036,M,Diseases of the musculoskeletal system and connective tissue,M69,Low back pain - variant 036,Low back pain - variant 036 specific presentation or complication.,low back pain - variant 036|low|unspecified,leaf
M54.036,M,Diseases of the musculoskeletal system and connective tissue,M54,Osteoporosis - variant 036,Osteoporosis - variant 036 specific presentation or complication.,osteoporosis - variant 036|osteoporosis|unspecified,leaf
N32.036,N,Diseases of the genitourinary system,N32,CKD - variant 036,CKD - variant 036 specific presentation or complication.,ckd - variant 036|ckd|unspecified,leaf
N24.036,N,Diseases of the genitourinary system,N24,UTI - variant 036,UTI - variant 036 specific presentation or complication.,uti - variant 036|uti|unspecified,leaf
N38.036,N,Diseases of the genitourinary system,N38,Nephrolithiasis - variant 036,Nephrolithiasis - variant 036 specific presentation or complication.,nephrolithiasis - variant 036|nephrolithiasis|unspecified,leaf
N48.036,N,Diseases of the genitourinary system,N48,Prostate disorder - variant 036,Prostate disorder - variant 036 specific presentation or complication.,prostate disorder - variant 036|prostate|unspecified,leaf
N77.036,N,Diseases of the genitourinary system,N77,Gynecologic disorder - variant 036,Gynecologic disorder - variant 036 specific presentation or complication.,gynecologic disorder - variant 036|gynecologic|unspecified,leaf
A82.037,A,Certain infectious and parasitic diseases,A82,Sepsis - variant 037,Sepsis - variant 037 specific presentation or complication.,sepsis - variant 037|sepsis|unspecified,leaf
A79.037,A,Certain infectious and parasitic diseases,A79,Viral infection - variant 037,Viral infection - variant 037 specific presentation or complication.,viral infection - variant 037|viral|unspecified,leaf
A25.037,A,Certain infectious and parasitic diseases,A25,Bacterial infection - variant 037,Bacterial infection - variant 037 specific presentation or complication.,bacterial infection - variant 037|bacterial|unspecified,leaf
A26.037,A,Certain infectious and parasitic diseases,A26,Mycosis - variant 037,Mycosis - variant 037 specific presentation or complication.,mycosis - variant 037|mycosis|unspecified,leaf
A73.037,A,Certain infectious and parasitic diseases,A73,Parasitic disease - variant 037,Parasitic disease - variant 037 specific presentation or complication.,parasitic disease - variant 037|parasitic|unspecified,leaf
C19.037,C,Neoplasms,C19,Malignant neoplasm of organ - variant 037,Malignant neoplasm of organ - variant 037 specific presentation or complication.,malignant neoplasm of organ - variant 037|malignant|unspecified,leaf
C76.037,C,Neoplasms,C76,Benign neoplasm - variant 037,Benign neoplasm - variant 037 specific presentation or complication.,benign neoplasm - variant 037|benign|unspecified,leaf
C23.037,C,Neoplasms,C23,In situ neoplasm - variant 037,In situ neoplasm - variant 037 specific presentation or complication.,in situ neoplasm - variant 037|in|unspecified,leaf
C25.037,C,Neoplasms,C25,Neoplasm of uncertain behavior - variant 037,Neoplasm of uncertain behavior - variant 037 specific presentation or complication.,neoplasm of uncertain behavior - variant 037|neoplasm|unspecified,leaf
E25.037,E,"Endocrine, nutritional and metabolic diseases",E25,Type 2 diabetes - variant 037,Type 2 diabetes - variant 037 specific presentation or complication.,type 2 diabetes - variant 037|type|unspecified,leaf
E90.037,E,"Endocrine, nutritional and metabolic diseases",E90,Thyroid disorder - variant 037,Thyroid disorder - variant 037 specific presentation or complication.,thyroid disorder - variant 037|thyroid|unspecified,leaf
E19.037,E,"Endocrine, nutritional and metabolic diseases",E19,Lipid disorder - variant 037,Lipid disorder - variant 037 specific presentation or complication.,lipid disorder - variant 037|lipid|unspecified,leaf
E22.037,E,"Endocrine, nutritional and metabolic diseases",E22,Obesity - variant 037,Obesity - variant 037 specific presentation or complication.,obesity - variant 037|obesity|unspecified,leaf
E89.037,E,"Endocrine, nutritional and metabolic diseases",E89,Electrolyte imbalance - variant 037,Electrolyte imbalance - variant 037 specific presentation or complication.,electrolyte imbalance - variant 037|electrolyte|unspecified,leaf
F64.037,F,Mental and behavioural disorders,F64,Major depressive disorder - variant 037,Major depressive disorder - variant 037 specific presentation or complication.,major depressive disorder - variant 037|major|unspecified,leaf
F62.037,F,Mental and behavioural disorders,F62,Anxiety disorder - variant 037,Anxiety disorder - variant 037 specific presentation or complication.,anxiety disorder - variant 037|anxiety|unspecified,leaf
F91.037,F,Mental and behavioural disorders,F91,Substance use disorder - variant 037,Substance use disorder - variant 037 specific presentation or complication.,substance use disorder - variant 037|substance|unspecified,leaf
F26.037,F,Mental and behavioural disorders,F26,Schizophrenia spectrum - variant 037,Schizophrenia spectrum - variant 037 specific presentation or complication.,schizophrenia spectrum - variant 037|schizophrenia|unspecified,leaf
G13.037,G,Diseases of the nervous system,G13,Epilepsy - variant 037,Epilepsy - variant 037 specific presentation or complication.,epilepsy - variant 037|epilepsy|unspecified,leaf
G59.037,G,Diseases of the nervous system,G59,Parkinsonism - variant 037,Parkinsonism - variant 037 specific presentation or complication.,parkinsonism - variant 037|parkinsonism|unspecified,leaf
G97.037,G,Diseases of the nervous system,G97,Migraine - variant 037,Migraine - variant 037 specific presentation or complication.,migraine - variant 037|migraine|unspecified,leaf
G64.037,G,Diseases of the nervous system,G64,Neuropathy - variant 037,Neuropathy - variant 037 specific presentation or complication.,neuropathy - variant 037|neuropathy|unspecified,leaf
I37.037,I,Diseases of the circulatory system,I37,Hypertensive disease - variant 037,Hypertensive disease - variant 037 specific presentation or complication.,hypertensive disease - variant 037|hypertensive|unspecified,leaf
I55.037,I,Diseases of the circulatory system,I55,Ischemic heart disease - variant 037,Ischemic heart disease - variant 037 specific presentation or complication.,ischemic heart disease - variant 037|ischemic|unspecified,leaf
I38.037,I,Diseases of the circulatory system,I38,Heart failure - variant 037,Heart failure - variant 037 specific presentation or complication.,heart failure - variant 037|heart|unspecified,leaf
I66.037,I,Diseases of the circulatory system,I66,Cerebrovascular disease - variant 037,Cerebrovascular disease - variant 037 specific presentation or complication.,cerebrovascular disease - variant 037|cerebrovascular|unspecified,leaf
I22.037,I,Diseases of the circulatory system,I22,Arrhythmia - variant 037,Arrhythmia - variant 037 specific presentation or complication.,arrhythmia - variant 037|arrhythmia|unspecified,leaf
J52.037,J,Diseases of the respiratory system,J52,Pneumonia - variant 037,Pneumonia - variant 037 specific presentation or complication.,pneumonia - variant 037|pneumonia|unspecified,leaf
J60.037,J,Diseases of the respiratory system,J60,Asthma - variant 037,Asthma - variant 037 specific presentation or complication.,asthma - variant 037|asthma|unspecified,leaf
J35.037,J,Diseases of the respiratory system,J35,COPD - variant 037,COPD - variant 037 specific presentation or complication.,copd - variant 037|copd|unspecified,leaf
J18.037,J,Diseases of the respiratory system,J18,Respiratory failure - variant 037,Respiratory failure - variant 037 specific presentation or complication.,respiratory failure - variant 037|respiratory|unspecified,leaf
K13.037,K,Diseases of the digestive system,K13,Gastritis - variant 037,Gastritis - variant 037 specific presentation or complication.,gastritis - variant 037|gastritis|unspecified,leaf
K19.037,K,Diseases of the digestive system,K19,Peptic ulcer - variant 037,Peptic ulcer - variant 037 specific presentation or complication.,peptic ulcer - variant 037|peptic|unspecified,leaf
K26.037,K,Diseases of the digestive system,K26,Liver disease - variant 037,Liver disease - variant 037 specific presentation or complication.,liver disease - variant 037|liver|unspecified,leaf
K20.037,K,Diseases of the digestive system,K20,Pancreatic disorder - variant 037,Pancreatic disorder - variant 037 specific presentation or complication.,pancreatic disorder - variant 037|pancreatic|unspecified,leaf
K36.037,K,Diseases of the digestive system,K36,IBD - variant 037,IBD - variant 037 specific presentation or complication.,ibd - variant 037|ibd|unspecified,leaf
M80.037,M,Diseases of the musculoskeletal system and connective tissue,M80,Osteoarthritis - variant 037,Osteoarthritis - variant 037 specific presentation or complication.,osteoarthritis - variant 037|osteoarthritis|unspecified,leaf
M74.037,M,Diseases of the musculoskeletal system and connective tissue,M74,Rheumatoid arthritis - variant 037,Rheumatoid arthritis - variant 037 specific presentation or complication.,rheumatoid arthritis - variant 037|rheumatoid|unspecified,leaf
